,Airport_1,Airport_2,sum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
17,ATL,FLL,46505,39.4193548387,40.3214285714,41.8709677419,39.4333333333,39.1612903226,39.7666666667,39.064516129,38.1935483871,38.2,38.0967741935,36.7666666667,38.064516129,43.0967741935,44.2142857143,46.0,45.7333333333,45.2258064516,45.5333333333,45.1290322581,44.6451612903,42.2,43.4516129032,41.6666666667,44.8709677419,44.2580645161,45.0344827586,45.5161290323,45.7,45.2580645161,45.3333333333,44.9677419355,44.2903225806,41.1666666667,42.2903225806,41.3,42.2258064516
18,SAN,SFO,46141,40.7419354839,40.0,41.5161290323,42.4333333333,41.7419354839,42.2666666667,41.8064516129,40.7096774194,41.0333333333,41.7096774194,41.0333333333,39.0967741935,36.2258064516,36.8214285714,40.1612903226,40.6666666667,43.0322580645,44.4666666667,43.2258064516,43.7419354839,42.6,43.7096774194,44.3333333333,40.9032258065,40.3548387097,41.4827586207,43.0322580645,43.9,44.064516129,45.6333333333,42.5483870968,47.7419354839,43.8666666667,43.8064516129,42.7,42.0322580645
19,ATL,TPA,45177,37.6451612903,38.1071428571,41.7419354839,40.1333333333,39.2903225806,37.1333333333,36.6451612903,36.7419354839,40.6,41.8387096774,39.6333333333,38.6774193548,37.7096774194,38.3214285714,42.8709677419,43.6,43.0,42.8333333333,42.935483871,43.935483871,41.9666666667,41.8387096774,44.7333333333,44.1290322581,42.1290322581,43.4827586207,47.1935483871,44.7666666667,42.8064516129,42.8666666667,41.9677419355,41.5483870968,39.8333333333,40.0967741935,40.8666666667,40.0
20,ATL,DFW,44432,38.8387096774,39.5,41.2903225806,40.4666666667,40.6774193548,41.5,40.9677419355,40.9032258065,41.4666666667,41.8709677419,40.2333333333,40.7419354839,41.9677419355,43.75,46.4193548387,44.6666666667,41.8709677419,42.6,41.7419354839,41.4838709677,41.0,40.9677419355,40.1333333333,39.3870967742,36.4193548387,38.3448275862,39.5483870968,38.8666666667,38.8064516129,40.1333333333,40.0,40.3870967742,37.4333333333,38.9677419355,38.4333333333,37.7419354839
21,DFW,LAX,43856,43.9032258065,43.5357142857,44.4193548387,44.8333333333,44.2903225806,44.8333333333,44.6451612903,44.1290322581,43.8,40.2903225806,37.3,38.3225806452,40.0,39.7142857143,39.4516129032,36.8333333333,37.4193548387,41.3,41.7741935484,41.4838709677,40.6,40.7419354839,39.2,39.6451612903,39.3870967742,39.4827586207,39.8064516129,39.5,38.0,37.7666666667,37.7741935484,37.1290322581,35.4,34.8709677419,34.8333333333,34.2580645161
22,DEN,SLC,43124,40.4193548387,40.9285714286,43.1935483871,41.8,41.8064516129,44.8,42.5161290323,42.8064516129,43.3666666667,43.064516129,40.8666666667,40.4193548387,37.8709677419,39.3214285714,40.0967741935,39.9333333333,35.6129032258,33.8333333333,31.1935483871,32.4838709677,33.3333333333,35.0322580645,35.5666666667,37.6451612903,39.6129032258,42.0,43.2258064516,39.6,38.3225806452,37.8,39.1935483871,38.935483871,40.0333333333,40.6774193548,39.5666666667,39.8709677419
23,DAL,HOU,42982,45.3225806452,45.4642857143,45.4516129032,46.0,44.4516129032,45.8333333333,45.4838709677,42.5806451613,42.5333333333,42.7096774194,37.4,38.2903225806,38.935483871,39.1428571429,39.0967741935,38.1333333333,36.3548387097,37.3,37.0322580645,37.7419354839,38.0666666667,38.0967741935,35.7,36.1935483871,36.1935483871,36.6551724138,37.3548387097,36.6,36.4516129032,37.2333333333,35.8064516129,37.2580645161,36.5,36.2580645161,36.5,36.0322580645
24,BOS,ORD,42742,31.3870967742,31.1071428571,32.3225806452,36.3666666667,38.7419354839,41.6666666667,43.935483871,43.4193548387,43.5333333333,45.6774193548,40.8,35.6451612903,31.4516129032,30.75,33.7096774194,39.7666666667,42.2903225806,45.5333333333,45.1290322581,45.4516129032,44.4333333333,44.2258064516,40.6666666667,32.1612903226,27.935483871,28.6206896552,33.6451612903,38.1666666667,41.3870967742,45.8,45.6129032258,46.0322580645,42.5333333333,43.3870967742,38.1666666667,31.1935483871
25,ATL,PHL,41624,32.7419354839,32.6428571429,34.5806451613,36.7,37.4838709677,36.3666666667,36.0322580645,39.2580645161,38.0333333333,38.064516129,36.5,35.2580645161,35.5161290323,36.8571428571,39.3548387097,37.1,40.9032258065,41.1666666667,42.0967741935,42.1612903226,41.5333333333,39.6451612903,38.8333333333,39.9032258065,35.6774193548,36.6896551724,36.6774193548,38.6,39.2580645161,39.8,38.3548387097,39.8064516129,39.5333333333,39.1290322581,38.6333333333,35.8387096774
26,DEN,LAX,41531,42.2258064516,41.1428571429,42.8387096774,42.0666666667,44.7741935484,45.1666666667,44.3870967742,40.7419354839,36.6333333333,36.0967741935,33.2666666667,34.8064516129,31.2903225806,29.8571428571,30.3225806452,32.7666666667,35.9032258065,36.5,36.4193548387,36.7741935484,36.3333333333,36.935483871,33.7333333333,36.4516129032,32.0,33.4482758621,35.2258064516,35.1,35.8387096774,41.3,43.5806451613,46.5483870968,43.9666666667,41.6451612903,39.0666666667,38.2903225806
