,Airport,origin_count,dest_count,Total_Flights
217,CWA,3771.0,3770.0,7541.0
218,CSG,3745.0,3745.0,7490.0
219,LSE,3742.0,3742.0,7484.0
220,SPS,3652.0,3653.0,7305.0
221,GCC,3572.0,3570.0,7142.0
222,MHK,3568.0,3568.0,7136.0
223,SUN,3373.0,3397.0,6770.0
224,CLD,3139.0,3138.0,6277.0
225,GFK,3133.0,3135.0,6268.0
226,RHI,3128.0,3129.0,6257.0
227,RKS,3124.0,3125.0,6249.0
228,MTJ,3077.0,3076.0,6153.0
229,VLD,3074.0,3076.0,6150.0
230,STX,3045.0,3046.0,6091.0
231,GTR,3042.0,3045.0,6087.0
232,BQK,3011.0,3011.0,6022.0
233,TXK,2972.0,2971.0,5943.0
234,ABY,2968.0,2968.0,5936.0
235,TWF,3012.0,2910.0,5922.0
236,BET,2936.0,2936.0,5872.0
237,RDD,2873.0,2873.0,5746.0
238,BRW,2808.0,2808.0,5616.0
239,COU,2784.0,2785.0,5569.0
240,PIH,2745.0,2745.0,5490.0
241,SCC,2704.0,2704.0,5408.0
242,DIK,2678.0,2676.0,5354.0
243,BPT,2672.0,2675.0,5347.0
244,HIB,2606.0,2605.0,5211.0
245,ROW,2551.0,2550.0,5101.0
246,SMX,2504.0,2503.0,5007.0
247,COD,2482.0,2486.0,4968.0
248,PSE,2480.0,2485.0,4965.0
249,SCE,2439.0,2449.0,4888.0
250,LBE,2444.0,2443.0,4887.0
251,HDN,2395.0,2395.0,4790.0
252,JMS,2344.0,2349.0,4693.0
253,PLN,2345.0,2346.0,4691.0
254,BLI,2240.0,2239.0,4479.0
255,SWF,2243.0,2230.0,4473.0
256,ABR,2237.0,2236.0,4473.0
257,CMX,2198.0,2202.0,4400.0
258,EKO,2192.0,2193.0,4385.0
259,BJI,2189.0,2189.0,4378.0
260,BRD,2187.0,2188.0,4375.0
261,ORH,2177.0,2191.0,4368.0
262,WRG,2180.0,2180.0,4360.0
263,PSG,2180.0,2180.0,4360.0
264,YAK,2173.0,2172.0,4345.0
265,CDV,2172.0,2173.0,4345.0
266,OME,2170.0,2170.0,4340.0
267,BTM,2169.0,2171.0,4340.0
268,OTZ,2168.0,2168.0,4336.0
269,EAU,2143.0,2143.0,4286.0
270,PAH,2142.0,2142.0,4284.0
271,MKG,2141.0,2141.0,4282.0
272,MEI,2133.0,2134.0,4267.0
273,EWN,2130.0,2131.0,4261.0
274,TOL,2066.0,2066.0,4132.0
275,IMT,2034.0,2034.0,4068.0
276,LWS,2005.0,2004.0,4009.0
277,LAR,1988.0,1989.0,3977.0
278,ERI,1957.0,1958.0,3915.0
279,DBQ,1915.0,1916.0,3831.0
280,CDC,1906.0,1906.0,3812.0
281,INL,1901.0,1901.0,3802.0
282,APN,1894.0,1894.0,3788.0
283,GCK,1881.0,1880.0,3761.0
284,JLN,1869.0,1867.0,3736.0
285,HOB,1866.0,1869.0,3735.0
286,BGR,1826.0,1824.0,3650.0
287,GGG,1793.0,1794.0,3587.0
288,GRI,1687.0,1688.0,3375.0
289,CIU,1633.0,1635.0,3268.0
290,ADQ,1569.0,1569.0,3138.0
291,ACK,1529.0,1529.0,3058.0
292,HYS,1514.0,1515.0,3029.0
293,DVL,1510.0,1513.0,3023.0
294,SUX,1414.0,1414.0,2828.0
295,GUC,1385.0,1383.0,2768.0
296,ALO,1352.0,1352.0,2704.0
297,PIB,1347.0,1348.0,2695.0
298,MQT,1341.0,1342.0,2683.0
299,ESC,1304.0,1304.0,2608.0
300,BGM,1201.0,1202.0,2403.0
301,CEC,1153.0,1153.0,2306.0
302,GUM,1097.0,1098.0,2195.0
303,CIC,1000.0,999.0,1999.0
304,OTH,987.0,987.0,1974.0
305,ITH,937.0,940.0,1877.0
306,ILG,806.0,809.0,1615.0
307,IAG,742.0,742.0,1484.0
308,PUB,736.0,735.0,1471.0
309,CNY,727.0,727.0,1454.0
310,VEL,724.0,724.0,1448.0
311,WYS,701.0,701.0,1402.0
312,BKG,670.0,670.0,1340.0
313,PBG,665.0,666.0,1331.0
314,MVY,625.0,625.0,1250.0
315,STC,550.0,550.0,1100.0
316,UST,540.0,540.0,1080.0
317,MMH,514.0,515.0,1029.0
318,MOD,465.0,464.0,929.0
319,FOE,449.0,449.0,898.0
320,PPG,349.0,349.0,698.0
321,ADK,313.0,313.0,626.0
322,LMT,310.0,308.0,618.0
323,HYA,280.0,280.0,560.0
324,DLG,238.0,238.0,476.0
325,GST,238.0,238.0,476.0
326,ART,237.0,236.0,473.0
327,AKN,189.0,189.0,378.0
328,PGD,83.0,83.0,166.0
329,SPN,2.0,2.0,4.0
330,ENV,1.0,,
331,DEST,,35.0,
332,ORIGIN,35.0,,
333,MCN,1.0,,
334,EFD,1.0,,
335,BFF,1.0,,
