,ROUTE,(delay_count / count),delay_count,count
369,"Row(_1=u'BWI', _2=u'JFK')",0.349056603774,37,106
370,"Row(_1=u'PDX', _2=u'OMA')",0.348837209302,15,43
371,"Row(_1=u'TYS', _2=u'DEN')",0.348837209302,45,129
372,"Row(_1=u'TPA', _2=u'LBE')",0.348484848485,23,66
373,"Row(_1=u'ORD', _2=u'CAE')",0.348214285714,117,336
374,"Row(_1=u'CEC', _2=u'ACV')",0.347826086957,8,23
375,"Row(_1=u'EWR', _2=u'MEM')",0.347826086957,120,345
376,"Row(_1=u'SNA', _2=u'SFO')",0.347572815534,716,2060
377,"Row(_1=u'ORD', _2=u'JAC')",0.34756097561,57,164
378,"Row(_1=u'CMH', _2=u'LGA')",0.347122302158,193,556
379,"Row(_1=u'SAT', _2=u'SFO')",0.34693877551,85,245
380,"Row(_1=u'DEN', _2=u'JAC')",0.346698113208,147,424
381,"Row(_1=u'JFK', _2=u'PBI')",0.346655082537,399,1151
382,"Row(_1=u'MIA', _2=u'SEA')",0.346534653465,70,202
383,"Row(_1=u'LAX', _2=u'BOI')",0.346456692913,132,381
384,"Row(_1=u'DFW', _2=u'SFO')",0.346263781135,848,2449
385,"Row(_1=u'OAK', _2=u'LAX')",0.346232179226,1020,2946
386,"Row(_1=u'BZN', _2=u'SFO')",0.346153846154,36,104
387,"Row(_1=u'MDW', _2=u'BKG')",0.346153846154,9,26
388,"Row(_1=u'DCA', _2=u'SAN')",0.346153846154,9,26
389,"Row(_1=u'DEN', _2=u'MTJ')",0.346153846154,99,286
390,"Row(_1=u'ORD', _2=u'TYS')",0.346109175377,298,861
391,"Row(_1=u'BOI', _2=u'SFO')",0.34610123119,253,731
392,"Row(_1=u'ORD', _2=u'SLC')",0.345975232198,447,1292
393,"Row(_1=u'SFO', _2=u'TUS')",0.345622119816,150,434
394,"Row(_1=u'LAS', _2=u'BUF')",0.34554973822,66,191
395,"Row(_1=u'PIA', _2=u'IAH')",0.345454545455,19,55
396,"Row(_1=u'LGA', _2=u'JAX')",0.345454545455,19,55
397,"Row(_1=u'CVG', _2=u'JFK')",0.345454545455,38,110
398,"Row(_1=u'RIC', _2=u'LGA')",0.345291479821,154,446
399,"Row(_1=u'LAS', _2=u'SFO')",0.345287958115,1319,3820
400,"Row(_1=u'BTV', _2=u'ORD')",0.345132743363,117,339
401,"Row(_1=u'MCO', _2=u'COS')",0.344827586207,10,29
402,"Row(_1=u'LAX', _2=u'FLL')",0.344789356984,311,902
403,"Row(_1=u'BTV', _2=u'EWR')",0.344736842105,131,380
404,"Row(_1=u'IAD', _2=u'CAE')",0.344537815126,82,238
405,"Row(_1=u'CVG', _2=u'IAH')",0.344537815126,164,476
406,"Row(_1=u'ORD', _2=u'OKC')",0.344290657439,199,578
407,"Row(_1=u'CLT', _2=u'SGF')",0.344262295082,21,61
408,"Row(_1=u'DEN', _2=u'FCA')",0.344213649852,116,337
409,"Row(_1=u'SFO', _2=u'OTH')",0.34375,33,96
410,"Row(_1=u'EUG', _2=u'SFO')",0.34367816092,299,870
411,"Row(_1=u'ORD', _2=u'XNA')",0.343519494204,326,949
412,"Row(_1=u'GSP', _2=u'IAD')",0.34328358209,23,67
413,"Row(_1=u'MSN', _2=u'EWR')",0.343195266272,58,169
414,"Row(_1=u'LGA', _2=u'IAD')",0.342857142857,84,245
415,"Row(_1=u'EWR', _2=u'SAV')",0.342857142857,108,315
416,"Row(_1=u'PHX', _2=u'SFO')",0.342845326716,829,2418
417,"Row(_1=u'SFO', _2=u'EUG')",0.34262485482,295,861
418,"Row(_1=u'EWR', _2=u'JAC')",0.342105263158,26,76
419,"Row(_1=u'CLE', _2=u'JFK')",0.342105263158,26,76
420,"Row(_1=u'ATL', _2=u'FAR')",0.342105263158,13,38
421,"Row(_1=u'ORD', _2=u'DSM')",0.342022116904,433,1266
422,"Row(_1=u'CLT', _2=u'SFO')",0.34201585504,302,883
423,"Row(_1=u'ASE', _2=u'ORD')",0.341085271318,176,516
424,"Row(_1=u'BTV', _2=u'LGA')",0.340909090909,30,88
425,"Row(_1=u'SHV', _2=u'DEN')",0.340740740741,46,135
426,"Row(_1=u'JFK', _2=u'DEN')",0.340740740741,138,405
427,"Row(_1=u'SFO', _2=u'SUN')",0.340659340659,31,91
428,"Row(_1=u'DEN', _2=u'RAP')",0.340557275542,110,323
429,"Row(_1=u'DEN', _2=u'DRO')",0.340314136126,65,191
430,"Row(_1=u'IAH', _2=u'SFO')",0.340163934426,581,1708
431,"Row(_1=u'SFO', _2=u'FAT')",0.339960238569,171,503
432,"Row(_1=u'LAX', _2=u'MCI')",0.339658444023,179,527
433,"Row(_1=u'MTJ', _2=u'LAX')",0.339622641509,18,53
434,"Row(_1=u'MSP', _2=u'RIC')",0.339622641509,54,159
435,"Row(_1=u'DEN', _2=u'LIT')",0.339285714286,95,280
436,"Row(_1=u'SDF', _2=u'EWR')",0.339207048458,77,227
437,"Row(_1=u'BZN', _2=u'ORD')",0.338842975207,41,121
438,"Row(_1=u'STT', _2=u'BOS')",0.338842975207,41,121
439,"Row(_1=u'MCO', _2=u'TTN')",0.338403041825,89,263
440,"Row(_1=u'PWM', _2=u'ORD')",0.338235294118,46,136
441,"Row(_1=u'CRW', _2=u'DFW')",0.338028169014,24,71
442,"Row(_1=u'ORD', _2=u'EWR')",0.337457817773,600,1778
443,"Row(_1=u'DFW', _2=u'MAF')",0.336890243902,221,656
444,"Row(_1=u'DFW', _2=u'EGE')",0.336842105263,128,380
445,"Row(_1=u'JFK', _2=u'SYR')",0.335294117647,171,510
446,"Row(_1=u'JFK', _2=u'PSE')",0.335227272727,59,176
447,"Row(_1=u'BWI', _2=u'LAX')",0.335174953959,182,543
448,"Row(_1=u'MDW', _2=u'SLC')",0.33514986376,123,367
449,"Row(_1=u'ORD', _2=u'ICT')",0.335106382979,315,940
450,"Row(_1=u'EWR', _2=u'PWM')",0.335,134,400
451,"Row(_1=u'DFW', _2=u'DRO')",0.334745762712,79,236
452,"Row(_1=u'DTW', _2=u'EWR')",0.334649555775,339,1013
453,"Row(_1=u'SJC', _2=u'HNL')",0.334645669291,85,254
